Timestamp,Sensor Timestamp,Plant ID,Disease Status,Temperature (°C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm),MQ2 Rs (Ohm),MQ2 Ratio,MQ2 R0 (Ohm),MQ2 Delta,MQ2 Variance,MQ2 Baseline
2025-12-21 21:55:34,53773,plant_001,healthy,19.68,36.43,101.696,368.57,1018.26,3.193,318.9,0.1765,3.29271,1.3504
2025-12-21 21:55:49,68893,plant_001,healthy,19.7,36.17,101.696,383.28,1125.43,3.5291,318.9,-0.0535,2.252163,1.3504
2025-12-21 21:56:04,84010,plant_001,healthy,19.72,36.06,101.696,388.73,1025.56,3.2159,318.9,-0.0494,1.64619,1.3504
2025-12-21 21:56:19,99143,plant_001,healthy,19.73,35.97,101.696,391.62,1215.33,3.811,318.9,0.2245,0.702838,1.5559
2025-12-21 21:59:05,265460,plant_001,healthy,19.79,35.75,101.701,396.14,987.32,3.096,318.9,0.0432,1.138659,1.1733
2025-12-21 21:59:20,280563,plant_001,healthy,19.81,36.12,101.701,392.86,1432.79,4.4929,318.9,0.0,1.46286,1.8817
2025-12-21 21:59:35,295676,plant_001,healthy,19.79,37.72,101.699,379.23,713.96,2.2388,318.9,-0.1467,4.859179,1.5995
2025-12-21 21:59:50,310818,plant_001,healthy,19.8,40.1,101.712,364.85,241.25,0.7565,318.9,-0.0495,6.024916,0.704
2025-12-21 22:00:06,325916,plant_001,healthy,19.7,40.13,101.712,364.95,200.88,0.6299,318.9,0.0055,6.844973,0.5808
2025-12-21 22:00:21,341016,plant_001,healthy,19.59,42.47,101.714,355.02,202.44,0.6348,318.9,-0.0038,1.136474,0.5607
2025-12-21 22:00:36,356155,plant_001,healthy,19.47,42.43,101.714,352.67,231.45,0.7258,318.9,-0.0017,0.010927,0.5576
2025-12-21 22:00:51,371256,plant_001,healthy,19.34,42.05,101.714,355.48,207.03,0.6492,318.9,0.0017,0.005645,0.5506
2025-12-21 22:01:06,386378,plant_001,healthy,19.23,42.7,101.714,355.47,211.17,0.6622,318.9,0.0028,0.005395,0.5426
2025-12-21 22:01:21,401490,plant_001,healthy,19.15,42.5,101.714,355.78,207.8,0.6516,318.9,-0.006,0.004989,0.5426
2025-12-21 22:01:36,416633,plant_001,healthy,19.11,46.38,101.716,328.64,217.94,0.6834,318.9,0.0004,0.003819,0.5446
2025-12-21 22:01:51,431745,plant_001,healthy,19.07,50.47,101.719,311.6,215.36,0.6753,318.9,0.0083,0.003627,0.5576
2025-12-21 22:02:06,446888,plant_001,healthy,19.03,51.13,101.721,311.15,228.44,0.7163,318.9,0.0049,0.003973,0.5576
2025-12-21 22:02:22,461993,plant_001,healthy,18.98,46.2,101.72,337.08,228.87,0.7177,318.9,0.0076,0.003673,0.5756
2025-12-21 22:02:37,477138,plant_001,healthy,18.94,45.7,101.721,336.09,259.75,0.8145,318.9,-0.0056,0.005644,0.5734
2025-12-21 22:02:52,492282,plant_001,healthy,18.89,44.57,101.72,345.61,290.1,0.9097,318.9,0.0047,0.009729,0.5734
2025-12-21 22:03:07,507422,plant_001,healthy,18.84,43.8,101.719,346.93,320.57,1.0053,318.9,0.019,0.016122,0.6148
2025-12-21 22:03:22,522564,plant_001,healthy,18.8,43.64,101.719,351.81,340.52,1.0678,318.9,-0.0124,0.017679,0.6674
2025-12-21 22:03:37,537662,plant_001,healthy,18.75,42.72,101.72,356.09,333.84,1.0468,318.9,0.0082,0.017005,0.7473
2025-12-21 22:03:52,552781,plant_001,healthy,18.71,43.38,101.722,352.88,353.81,1.1095,318.9,-0.0082,0.018796,0.8219
2025-12-21 22:04:08,567912,plant_001,healthy,18.67,44.18,101.724,347.82,355.03,1.1133,318.9,-0.0039,0.021466,0.8291
2025-12-21 22:04:23,583059,plant_001,healthy,18.64,44.59,101.725,348.59,359.1,1.1261,318.9,0.0,0.0224,0.8291
2025-12-21 22:04:38,598166,plant_001,healthy,18.62,44.03,101.725,351.36,315.73,0.9901,318.9,-0.0094,0.023899,0.8448
2025-12-21 22:04:53,613267,plant_001,healthy,18.6,44.36,101.726,349.35,373.15,1.1701,318.9,0.0144,0.025222,0.7869
2025-12-21 22:05:08,628371,plant_001,healthy,18.58,44.55,101.726,349.07,352.42,1.1051,318.9,0.0212,0.027311,0.7869
2025-12-21 22:05:23,643499,plant_001,healthy,18.57,44.8,101.728,346.92,362.33,1.1362,318.9,-0.0084,0.026505,0.7869
2025-12-21 22:05:38,658626,plant_001,healthy,18.56,46.52,101.729,335.93,362.08,1.1354,318.9,-0.0128,0.022994,0.802
2025-12-21 22:05:53,673742,plant_001,healthy,18.55,47.76,101.731,331.36,340.29,1.0671,318.9,-0.0011,0.019292,0.8719
2025-12-21 22:06:08,688866,plant_001,healthy,18.54,48.74,101.732,326.86,359.31,1.1267,318.9,0.0124,0.019824,0.9148
2025-12-21 22:06:24,703996,plant_001,healthy,18.52,47.67,101.733,334.24,344.43,1.08,318.9,-0.0055,0.019275,0.9148
2025-12-21 22:06:39,719111,plant_001,healthy,18.5,46.33,101.733,339.73,363.05,1.1384,318.9,-0.0069,0.019289,0.9204
2025-12-21 22:06:54,734249,plant_001,healthy,18.49,46.21,101.734,339.09,337.04,1.0569,318.9,0.0223,0.020514,0.9015
2025-12-21 22:07:09,749348,plant_001,healthy,18.49,46.13,101.734,341.51,361.48,1.1335,318.9,-0.0052,0.017763,0.9015
2025-12-21 22:07:24,764487,plant_001,healthy,18.48,45.72,101.735,343.69,356.01,1.1164,318.9,0.0,0.018206,0.9015
2025-12-21 22:07:39,779600,plant_001,healthy,18.48,45.49,101.735,343.78,344.47,1.0802,318.9,0.0,0.018198,0.7869
2025-12-21 22:07:54,794731,plant_001,healthy,18.48,46.3,101.736,340.08,351.2,1.1013,318.9,-0.0061,0.017683,0.7869
2025-12-21 22:08:09,809877,plant_001,healthy,18.48,45.87,101.736,343.35,349.84,1.097,318.9,0.0029,0.018721,0.7869
2025-12-21 22:08:25,825020,plant_001,healthy,18.48,45.84,101.736,341.06,339.14,1.0635,318.9,-0.0187,0.017692,0.8547
2025-12-21 22:08:40,840119,plant_001,healthy,18.48,47.58,101.737,333.22,343.92,1.0784,318.9,0.0081,0.019207,0.8886
2025-12-21 22:08:55,855251,plant_001,healthy,18.48,46.74,101.737,339.44,350.39,1.0987,318.9,-0.0033,0.018463,0.8886
2025-12-21 22:09:10,870395,plant_001,healthy,18.48,45.95,101.737,342.13,354.8,1.1126,318.9,0.0069,0.017029,0.8886
2025-12-21 22:09:25,885531,plant_001,healthy,18.48,46.27,101.737,339.57,353.66,1.109,318.9,0.0,0.015464,0.9017
2025-12-21 22:09:40,900645,plant_001,healthy,18.47,47.03,101.737,336.88,343.87,1.0783,318.9,-0.0013,0.01575,0.8596
2025-12-21 22:09:55,915785,plant_001,healthy,18.47,45.92,101.739,343.09,368.21,1.1546,318.9,-0.0057,0.017815,0.7869
2025-12-21 22:10:11,930913,plant_001,healthy,18.46,45.58,101.74,344.33,353.6,1.1088,318.9,0.0205,0.018505,0.7869
2025-12-21 22:10:26,946028,plant_001,healthy,18.46,45.37,101.74,345.08,357.16,1.12,318.9,-0.0172,0.019191,0.8098
2025-12-21 22:10:41,961159,plant_001,healthy,18.47,45.64,101.739,344.68,360.36,1.13,318.9,0.0138,0.019156,0.9015
2025-12-21 22:10:56,976301,plant_001,healthy,18.46,45.52,101.74,344.26,358.48,1.1241,318.9,-0.0032,0.020887,0.8718
2025-12-21 22:11:11,991414,plant_001,healthy,18.46,44.85,101.74,349.62,332.81,1.0436,318.9,-0.007,0.02138,0.8384
2025-12-21 22:11:26,1006515,plant_001,healthy,18.46,44.7,101.74,349.95,358.05,1.1228,318.9,0.0154,0.022137,0.7973
2025-12-21 22:11:41,1021614,plant_001,healthy,18.46,43.59,101.74,356.95,359.54,1.1274,318.9,-0.0223,0.022946,0.7869
2025-12-21 22:11:56,1036720,plant_001,healthy,18.46,43.29,101.74,358.85,336.08,1.0539,318.9,-0.0048,0.022765,0.7869
2025-12-21 22:12:11,1051847,plant_001,healthy,18.47,43.61,101.741,353.77,338.27,1.0608,318.9,0.0131,0.021657,0.7869
2025-12-21 22:12:27,1066994,plant_001,healthy,18.47,45.04,101.743,346.86,367.86,1.1535,318.9,0.0141,0.022756,0.7869
2025-12-21 22:12:42,1082108,plant_001,healthy,18.47,45.97,101.743,343.19,351.49,1.1022,318.9,0.0,0.023203,0.8382
2025-12-21 22:12:57,1097245,plant_001,healthy,18.47,45.27,101.743,347.21,350.46,1.099,318.9,-0.0084,0.023634,0.8638
2025-12-21 22:13:12,1112377,plant_001,healthy,18.46,43.86,101.742,354.94,344.46,1.0802,318.9,-0.0149,0.021031,0.8638
2025-12-21 22:13:27,1127484,plant_001,healthy,18.46,43.27,101.743,357.63,354.42,1.1114,318.9,0.0032,0.017539,0.8944
2025-12-21 22:13:42,1142583,plant_001,healthy,18.47,44.15,101.744,350.88,362.52,1.1368,318.9,0.0048,0.016609,0.8808
2025-12-21 22:13:57,1157721,plant_001,healthy,18.47,44.81,101.745,347.98,340.48,1.0677,318.9,0.0173,0.01904,0.8074
2025-12-21 22:14:12,1172823,plant_001,healthy,18.47,45.33,101.745,346.02,360.29,1.1298,318.9,-0.022,0.019903,0.7869
2025-12-21 22:14:28,1187964,plant_001,healthy,18.47,44.96,101.746,347.79,335.1,1.0508,318.9,-0.0052,0.022294,0.7869
2025-12-21 22:14:43,1203091,plant_001,healthy,18.47,44.35,101.747,351.87,347.44,1.0895,318.9,0.003,0.019736,0.7994
2025-12-21 22:14:58,1218219,plant_001,healthy,18.47,43.55,101.747,355.68,334.42,1.0487,318.9,0.0,0.018327,0.8182
