Timestamp,Temperature (C),Humidity (%),Pressure (kPa),Gas Resistance (KOhm)
2025-11-13 18:06:03,20.17,48.58,100.52,35.45
2025-11-13 18:06:19,20.15,54.14,100.52,33.57
2025-11-13 18:06:33,20.1,67.78,100.52,29.81
2025-11-13 18:06:56,20.02,72.54,100.52,27.24
2025-11-13 18:08:22,20.25,74.6,100.53,29.81
2025-11-13 18:08:37,20.01,76.67,100.53,27.29
2025-11-13 18:08:52,19.81,77.83,100.53,25.78
2025-11-13 18:09:07,19.64,78.59,100.53,24.65
2025-11-13 18:09:22,19.49,78.53,100.53,24.04
2025-11-13 18:09:38,19.36,78.2,100.53,23.6
2025-11-13 18:09:53,19.25,78.95,100.53,23.44
2025-11-13 18:10:07,19.16,79.62,100.53,23.0
2025-11-13 18:10:22,19.07,79.62,100.53,22.97
2025-11-13 18:10:37,18.99,79.6,100.53,22.8
2025-11-13 18:10:53,18.93,80.3,100.53,22.53
2025-11-13 18:11:08,18.87,80.57,100.53,22.36
2025-11-13 18:11:22,18.82,81.2,100.53,22.12
2025-11-13 18:11:38,18.78,80.73,100.53,22.14
2025-11-13 18:11:53,18.73,79.68,100.53,22.14
2025-11-13 18:12:08,18.7,80.16,100.53,22.1
2025-11-13 18:12:23,18.67,80.79,100.53,22.17
2025-11-13 18:12:37,18.64,80.9,100.53,22.12
2025-11-13 18:12:53,18.62,81.03,100.53,22.12
2025-11-13 18:13:08,18.59,80.58,100.53,22.12
2025-11-13 18:13:23,18.57,80.18,100.53,22.26
2025-11-13 18:13:38,18.55,78.87,100.53,22.26
2025-11-13 18:13:53,18.53,78.77,100.53,22.21
2025-11-13 18:14:08,18.52,80.12,100.53,22.14
2025-11-13 18:14:23,18.51,80.46,100.53,22.17
2025-11-13 18:14:38,18.5,80.76,100.53,21.98
2025-11-13 18:14:54,18.5,80.97,100.53,22.05
2025-11-13 18:15:08,18.49,80.57,100.53,22.1
2025-11-13 18:15:24,18.48,79.92,100.53,22.12
2025-11-13 18:15:38,18.47,80.39,100.53,21.98
2025-11-13 18:15:53,18.47,80.94,100.53,22.07
2025-11-13 18:16:09,18.46,80.42,100.53,22.07
2025-11-13 18:16:24,18.46,80.41,100.53,22.1
2025-11-13 18:16:39,18.46,80.83,100.53,22.05
2025-11-13 18:16:54,18.45,81.0,100.53,22.0
2025-11-13 18:17:09,18.46,81.58,100.53,21.96
2025-11-13 18:17:23,18.45,81.63,100.54,21.91
2025-11-13 18:17:39,18.45,81.76,100.54,21.89
2025-11-13 18:17:54,18.44,80.16,100.54,21.91
2025-11-13 18:18:09,18.43,78.53,100.54,22.0
2025-11-13 18:18:24,18.43,79.0,100.54,22.07
2025-11-13 18:18:39,18.42,78.59,100.54,22.1
2025-11-13 18:18:54,18.43,79.96,100.54,21.98
2025-11-13 18:19:09,18.43,80.34,100.54,21.91
2025-11-13 18:19:24,18.43,79.24,100.54,21.96
2025-11-13 18:19:39,18.42,79.07,100.54,22.07
2025-11-13 18:19:55,18.42,79.23,100.54,21.91
2025-11-13 18:20:10,18.43,79.8,100.54,22.03
2025-11-13 18:20:25,18.43,80.5,100.54,21.84
2025-11-13 18:20:40,18.43,80.11,100.54,21.89
2025-11-13 18:20:55,18.44,80.81,100.54,21.84
2025-11-13 18:21:10,18.44,81.23,100.54,21.84
2025-11-13 18:21:25,18.45,81.73,100.54,21.68
2025-11-13 18:21:40,18.45,79.93,100.54,21.75
2025-11-13 18:21:55,18.45,79.72,100.54,21.73
2025-11-13 18:22:10,18.45,79.65,100.54,21.73
2025-11-13 18:22:25,18.46,80.55,100.54,21.7
2025-11-13 18:22:40,18.46,81.27,100.54,21.55
2025-11-13 18:22:55,18.47,81.07,100.54,21.55
2025-11-13 18:23:11,18.47,80.83,100.54,21.84
2025-11-13 18:23:25,18.47,81.3,100.54,21.61
2025-11-13 18:23:41,18.47,82.02,100.54,21.57
2025-11-13 18:23:56,18.48,81.92,100.54,21.57
2025-11-13 18:24:11,18.47,81.62,100.54,21.64
2025-11-13 18:24:25,18.47,81.16,100.54,21.57
2025-11-13 18:24:40,18.47,81.44,100.55,21.61
2025-11-13 18:24:56,18.47,82.33,100.55,21.5
2025-11-13 18:25:11,18.47,82.71,100.55,21.35
2025-11-13 18:25:26,18.47,82.21,100.55,21.44
2025-11-13 18:25:41,18.47,82.51,100.55,21.35
2025-11-13 18:25:56,18.47,81.99,100.55,21.39
2025-11-13 18:26:10,18.47,81.1,100.55,21.48
2025-11-13 18:26:26,18.47,81.99,100.55,21.42
2025-11-13 18:26:40,18.47,82.36,100.55,21.44
2025-11-13 18:26:56,18.47,82.49,100.54,21.37
2025-11-13 18:27:10,18.47,82.36,100.54,21.37
2025-11-13 18:27:26,18.48,82.38,100.54,21.33
